avg_pitch,avg_duration,avg_velocity,total_notes,pitch_variance,velocity_variance,pitch_range,note_density,tempo,rhythm_std,melodic_complexity,emotion,feature_vector,composer,title,midi_path
65.52,0.08,71.27,2193,186.25,273.69,72,21.39,226.84,0.05,12.89,Calm,"{'avg_pitch': np.float64(65.52), 'avg_duration': np.float64(0.08), 'avg_velocity': np.float64(71.27), 'pitch_variance': np.float64(186.25), 'velocity_variance': np.float64(273.69), 'pitch_range': np.int64(72), 'note_density': np.float64(21.39), 'tempo': np.float64(226.84), 'rhythm_std': np.float64(0.05), 'melodic_complexity': np.float64(12.89), 'total_notes': 2193}",Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10",2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi
61.42,0.21,62.16,5392,158.91,406.05,77,9.76,195.88,0.33,12.1,Calm,"{'avg_pitch': np.float64(61.42), 'avg_duration': np.float64(0.21), 'avg_velocity': np.float64(62.16), 'pitch_variance': np.float64(158.91), 'velocity_variance': np.float64(406.05), 'pitch_range': np.int64(77), 'note_density': np.float64(9.76), 'tempo': np.float64(195.88), 'rhythm_std': np.float64(0.33), 'melodic_complexity': np.float64(12.1), 'total_notes': 5392}",Alexander Scriabin,Etudes from Op.8,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi
61.19,0.18,73.17,6498,230.49,478.61,75,12.69,190.34,0.28,13.26,Calm,"{'avg_pitch': np.float64(61.19), 'avg_duration': np.float64(0.18), 'avg_velocity': np.float64(73.17), 'pitch_variance': np.float64(230.49), 'velocity_variance': np.float64(478.61), 'pitch_range': np.int64(75), 'note_density': np.float64(12.69), 'tempo': np.float64(190.34), 'rhythm_std': np.float64(0.28), 'melodic_complexity': np.float64(13.26), 'total_notes': 6498}",Alexander Scriabin,Fantasy Op. 28 in B Minor,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi
61.82,0.19,70.13,6118,216.78,469.09,75,12.8,210.41,0.32,14.08,Calm,"{'avg_pitch': np.float64(61.82), 'avg_duration': np.float64(0.19), 'avg_velocity': np.float64(70.13), 'pitch_variance': np.float64(216.78), 'velocity_variance': np.float64(469.09), 'pitch_range': np.int64(75), 'note_density': np.float64(12.8), 'tempo': np.float64(210.41), 'rhythm_std': np.float64(0.32), 'melodic_complexity': np.float64(14.08), 'total_notes': 6118}",Alexander Scriabin,"Fantasy in B Minor, Op. 28",2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi
61.44,0.18,74.66,6321,220.89,464.49,73,12.98,208.67,0.33,13.43,Calm,"{'avg_pitch': np.float64(61.44), 'avg_duration': np.float64(0.18), 'avg_velocity': np.float64(74.66), 'pitch_variance': np.float64(220.89), 'velocity_variance': np.float64(464.49), 'pitch_range': np.int64(73), 'note_density': np.float64(12.98), 'tempo': np.float64(208.67), 'rhythm_std': np.float64(0.33), 'melodic_complexity': np.float64(13.43), 'total_notes': 6321}",Alexander Scriabin,"Fantasy, Op. 28",2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi
68.46,0.2,44.04,1052,113.87,222.19,53,7.37,209.89,0.39,11.44,Calm,"{'avg_pitch': np.float64(68.46), 'avg_duration': np.float64(0.2), 'avg_velocity': np.float64(44.04), 'pitch_variance': np.float64(113.87), 'velocity_variance': np.float64(222.19), 'pitch_range': np.int64(53), 'note_density': np.float64(7.37), 'tempo': np.float64(209.89), 'rhythm_std': np.float64(0.39), 'melodic_complexity': np.float64(11.44), 'total_notes': 1052}",Alexander Scriabin,"Fragilite, Op.51",2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi
63.81,0.23,57.45,1904,172.98,346.75,82,4.04,192.89,0.34,7.1,Calm,"{'avg_pitch': np.float64(63.81), 'avg_duration': np.float64(0.23), 'avg_velocity': np.float64(57.45), 'pitch_variance': np.float64(172.98), 'velocity_variance': np.float64(346.75), 'pitch_range': np.int64(82), 'note_density': np.float64(4.04), 'tempo': np.float64(192.89), 'rhythm_std': np.float64(0.34), 'melodic_complexity': np.float64(7.1), 'total_notes': 1904}",Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9",2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi
61.18,0.19,58.39,6232,187.1,203.18,78,10.15,209.88,0.31,12.36,Calm,"{'avg_pitch': np.float64(61.18), 'avg_duration': np.float64(0.19), 'avg_velocity': np.float64(58.39), 'pitch_variance': np.float64(187.1), 'velocity_variance': np.float64(203.18), 'pitch_range': np.int64(78), 'note_density': np.float64(10.15), 'tempo': np.float64(209.88), 'rhythm_std': np.float64(0.31), 'melodic_complexity': np.float64(12.36), 'total_notes': 6232}",Alexander Scriabin,Sonata No. 2,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi
61.27,0.19,57.53,6196,189.74,350.14,78,8.8,210.12,0.28,12.4,Calm,"{'avg_pitch': np.float64(61.27), 'avg_duration': np.float64(0.19), 'avg_velocity': np.float64(57.53), 'pitch_variance': np.float64(189.74), 'velocity_variance': np.float64(350.14), 'pitch_range': np.int64(78), 'note_density': np.float64(8.8), 'tempo': np.float64(210.12), 'rhythm_std': np.float64(0.28), 'melodic_complexity': np.float64(12.4), 'total_notes': 6196}",Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi
61.18,0.22,63.4,6220,187.45,325.7,78,9.07,209.17,0.32,12.41,Calm,"{'avg_pitch': np.float64(61.18), 'avg_duration': np.float64(0.22), 'avg_velocity': np.float64(63.4), 'pitch_variance': np.float64(187.45), 'velocity_variance': np.float64(325.7), 'pitch_range': np.int64(78), 'note_density': np.float64(9.07), 'tempo': np.float64(209.17), 'rhythm_std': np.float64(0.32), 'melodic_complexity': np.float64(12.41), 'total_notes': 6220}",Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi
61.27,0.21,62.33,6178,188.23,330.16,78,9.33,207.81,0.31,12.27,Calm,"{'avg_pitch': np.float64(61.27), 'avg_duration': np.float64(0.21), 'avg_velocity': np.float64(62.33), 'pitch_variance': np.float64(188.23), 'velocity_variance': np.float64(330.16), 'pitch_range': np.int64(78), 'note_density': np.float64(9.33), 'tempo': np.float64(207.81), 'rhythm_std': np.float64(0.31), 'melodic_complexity': np.float64(12.27), 'total_notes': 6178}",Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)",2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi
61.01,0.19,68.79,9486,164.28,275.88,73,8.46,193.3,0.35,12.14,Calm,"{'avg_pitch': np.float64(61.01), 'avg_duration': np.float64(0.19), 'avg_velocity': np.float64(68.79), 'pitch_variance': np.float64(164.28), 'velocity_variance': np.float64(275.88), 'pitch_range': np.int64(73), 'note_density': np.float64(8.46), 'tempo': np.float64(193.3), 'rhythm_std': np.float64(0.35), 'melodic_complexity': np.float64(12.14), 'total_notes': 9486}",Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi
60.93,0.29,68.05,9525,164.37,396.59,73,7.97,206.78,0.44,12.34,Calm,"{'avg_pitch': np.float64(60.93), 'avg_duration': np.float64(0.29), 'avg_velocity': np.float64(68.05), 'pitch_variance': np.float64(164.37), 'velocity_variance': np.float64(396.59), 'pitch_range': np.int64(73), 'note_density': np.float64(7.97), 'tempo': np.float64(206.78), 'rhythm_std': np.float64(0.44), 'melodic_complexity': np.float64(12.34), 'total_notes': 9525}",Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi
61.16,0.27,65.49,9727,166.4,433.39,73,8.69,207.71,0.43,12.15,Calm,"{'avg_pitch': np.float64(61.16), 'avg_duration': np.float64(0.27), 'avg_velocity': np.float64(65.49), 'pitch_variance': np.float64(166.4), 'velocity_variance': np.float64(433.39), 'pitch_range': np.int64(73), 'note_density': np.float64(8.69), 'tempo': np.float64(207.71), 'rhythm_std': np.float64(0.43), 'melodic_complexity': np.float64(12.15), 'total_notes': 9727}",Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi
66.46,0.15,70.31,5600,210.72,328.39,83,12.72,208.77,0.31,12.55,Calm,"{'avg_pitch': np.float64(66.46), 'avg_duration': np.float64(0.15), 'avg_velocity': np.float64(70.31), 'pitch_variance': np.float64(210.72), 'velocity_variance': np.float64(328.39), 'pitch_range': np.int64(83), 'note_density': np.float64(12.72), 'tempo': np.float64(208.77), 'rhythm_std': np.float64(0.31), 'melodic_complexity': np.float64(12.55), 'total_notes': 5600}",Alexander Scriabin,"Sonata No. 4 in F-sharp Major ,Op.30",2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi
64.88,0.2,67.99,7516,210.75,414.1,82,11.37,206.02,0.4,11.27,Calm,"{'avg_pitch': np.float64(64.88), 'avg_duration': np.float64(0.2), 'avg_velocity': np.float64(67.99), 'pitch_variance': np.float64(210.75), 'velocity_variance': np.float64(414.1), 'pitch_range': np.int64(82), 'note_density': np.float64(11.37), 'tempo': np.float64(206.02), 'rhythm_std': np.float64(0.4), 'melodic_complexity': np.float64(11.27), 'total_notes': 7516}",Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53",2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi
64.59,0.17,65.51,7629,214.04,399.94,83,10.88,204.52,0.35,11.24,Calm,"{'avg_pitch': np.float64(64.59), 'avg_duration': np.float64(0.17), 'avg_velocity': np.float64(65.51), 'pitch_variance': np.float64(214.04), 'velocity_variance': np.float64(399.94), 'pitch_range': np.int64(83), 'note_density': np.float64(10.88), 'tempo': np.float64(204.52), 'rhythm_std': np.float64(0.35), 'melodic_complexity': np.float64(11.24), 'total_notes': 7629}",Alexander Scriabin,"Sonata No. 5, Op. 53",2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.midi
64.54,0.23,70.48,7910,218.69,450.22,84,11.2,203.15,0.46,11.28,Calm,"{'avg_pitch': np.float64(64.54), 'avg_duration': np.float64(0.23), 'avg_velocity': np.float64(70.48), 'pitch_variance': np.float64(218.69), 'velocity_variance': np.float64(450.22), 'pitch_range': np.int64(84), 'note_density': np.float64(11.2), 'tempo': np.float64(203.15), 'rhythm_std': np.float64(0.46), 'melodic_complexity': np.float64(11.28), 'total_notes': 7910}",Alexander Scriabin,"Sonata No. 5, Op. 53",2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi
64.68,0.18,66.96,7548,207.24,429.21,83,11.63,196.06,0.37,11.19,Calm,"{'avg_pitch': np.float64(64.68), 'avg_duration': np.float64(0.18), 'avg_velocity': np.float64(66.96), 'pitch_variance': np.float64(207.24), 'velocity_variance': np.float64(429.21), 'pitch_range': np.int64(83), 'note_density': np.float64(11.63), 'tempo': np.float64(196.06), 'rhythm_std': np.float64(0.37), 'melodic_complexity': np.float64(11.19), 'total_notes': 7548}",Alexander Scriabin,"Sonata No. 5, Op. 53",2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.midi
64.89,0.13,73.95,7891,223.74,533.26,85,13.1,181.15,0.31,11.27,Calm,"{'avg_pitch': np.float64(64.89), 'avg_duration': np.float64(0.13), 'avg_velocity': np.float64(73.95), 'pitch_variance': np.float64(223.74), 'velocity_variance': np.float64(533.26), 'pitch_range': np.int64(85), 'note_density': np.float64(13.1), 'tempo': np.float64(181.15), 'rhythm_std': np.float64(0.31), 'melodic_complexity': np.float64(11.27), 'total_notes': 7891}",Alexander Scriabin,"Sonata No. 5, Op. 53",2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi
65.17,0.18,70.34,7656,201.69,420.63,84,10.8,180.32,0.39,11.05,Calm,"{'avg_pitch': np.float64(65.17), 'avg_duration': np.float64(0.18), 'avg_velocity': np.float64(70.34), 'pitch_variance': np.float64(201.69), 'velocity_variance': np.float64(420.63), 'pitch_range': np.int64(84), 'note_density': np.float64(10.8), 'tempo': np.float64(180.32), 'rhythm_std': np.float64(0.39), 'melodic_complexity': np.float64(11.05), 'total_notes': 7656}",Alexander Scriabin,"Sonata No. 5, Op. 53",2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.midi
64.62,0.15,69.56,8071,214.45,460.2,84,12.51,209.49,0.33,11.04,Calm,"{'avg_pitch': np.float64(64.62), 'avg_duration': np.float64(0.15), 'avg_velocity': np.float64(69.56), 'pitch_variance': np.float64(214.45), 'velocity_variance': np.float64(460.2), 'pitch_range': np.int64(84), 'note_density': np.float64(12.51), 'tempo': np.float64(209.49), 'rhythm_std': np.float64(0.33), 'melodic_complexity': np.float64(11.04), 'total_notes': 8071}",Alexander Scriabin,"Sonata No. 5, Op. 53",2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.midi
61.62,0.29,62.96,3648,182.71,361.58,68,7.6,212.59,0.62,10.25,Calm,"{'avg_pitch': np.float64(61.62), 'avg_duration': np.float64(0.29), 'avg_velocity': np.float64(62.96), 'pitch_variance': np.float64(182.71), 'velocity_variance': np.float64(361.58), 'pitch_range': np.int64(68), 'note_density': np.float64(7.6), 'tempo': np.float64(212.59), 'rhythm_std': np.float64(0.62), 'melodic_complexity': np.float64(10.25), 'total_notes': 3648}",Alexander Scriabin,Sonata No. 9,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi
61.19,0.21,71.3,3878,188.64,436.06,68,9.01,209.49,0.54,10.13,Calm,"{'avg_pitch': np.float64(61.19), 'avg_duration': np.float64(0.21), 'avg_velocity': np.float64(71.3), 'pitch_variance': np.float64(188.64), 'velocity_variance': np.float64(436.06), 'pitch_range': np.int64(68), 'note_density': np.float64(9.01), 'tempo': np.float64(209.49), 'rhythm_std': np.float64(0.54), 'melodic_complexity': np.float64(10.13), 'total_notes': 3878}",Alexander Scriabin,Sonata No. 9,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi
61.96,0.22,61.84,4060,189.98,458.88,68,7.78,213.27,0.6,9.95,Calm,"{'avg_pitch': np.float64(61.96), 'avg_duration': np.float64(0.22), 'avg_velocity': np.float64(61.84), 'pitch_variance': np.float64(189.98), 'velocity_variance': np.float64(458.88), 'pitch_range': np.int64(68), 'note_density': np.float64(7.78), 'tempo': np.float64(213.27), 'rhythm_std': np.float64(0.6), 'melodic_complexity': np.float64(9.95), 'total_notes': 4060}",Alexander Scriabin,"Sonata No. 9, Op. 68",2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi
61.71,0.32,59.54,3633,183.58,348.19,68,6.97,194.15,0.64,10.4,Calm,"{'avg_pitch': np.float64(61.71), 'avg_duration': np.float64(0.32), 'avg_velocity': np.float64(59.54), 'pitch_variance': np.float64(183.58), 'velocity_variance': np.float64(348.19), 'pitch_range': np.int64(68), 'note_density': np.float64(6.97), 'tempo': np.float64(194.15), 'rhythm_std': np.float64(0.64), 'melodic_complexity': np.float64(10.4), 'total_notes': 3633}",Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass""",2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi
62.2,0.42,59.05,1995,138.64,346.51,68,5.46,201.4,0.75,11.19,Calm,"{'avg_pitch': np.float64(62.2), 'avg_duration': np.float64(0.42), 'avg_velocity': np.float64(59.05), 'pitch_variance': np.float64(138.64), 'velocity_variance': np.float64(346.51), 'pitch_range': np.int64(68), 'note_density': np.float64(5.46), 'tempo': np.float64(201.4), 'rhythm_std': np.float64(0.75), 'melodic_complexity': np.float64(11.19), 'total_notes': 1995}",Alexander Scriabin,"Two Impromptus, Op. 14 (Complete)",2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi
66.13,0.21,67.35,2853,202.21,452.4,86,8.92,208.0,0.48,12.48,Calm,"{'avg_pitch': np.float64(66.13), 'avg_duration': np.float64(0.21), 'avg_velocity': np.float64(67.35), 'pitch_variance': np.float64(202.21), 'velocity_variance': np.float64(452.4), 'pitch_range': np.int64(86), 'note_density': np.float64(8.92), 'tempo': np.float64(208.0), 'rhythm_std': np.float64(0.48), 'melodic_complexity': np.float64(12.48), 'total_notes': 2853}",Alexander Scriabin,"Waltz, Op. 38",2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi
66.11,0.09,68.68,3483,180.44,153.89,60,14.97,232.95,0.11,14.04,Calm,"{'avg_pitch': np.float64(66.11), 'avg_duration': np.float64(0.09), 'avg_velocity': np.float64(68.68), 'pitch_variance': np.float64(180.44), 'velocity_variance': np.float64(153.89), 'pitch_range': np.int64(60), 'note_density': np.float64(14.97), 'tempo': np.float64(232.95), 'rhythm_std': np.float64(0.11), 'melodic_complexity': np.float64(14.04), 'total_notes': 3483}",Antonio Soler,Sonata No. 10 in B Minor,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.midi
63.49,0.12,62.06,12827,169.32,206.12,77,13.66,209.17,0.23,11.07,Calm,"{'avg_pitch': np.float64(63.49), 'avg_duration': np.float64(0.12), 'avg_velocity': np.float64(62.06), 'pitch_variance': np.float64(169.32), 'velocity_variance': np.float64(206.12), 'pitch_range': np.int64(77), 'note_density': np.float64(13.66), 'tempo': np.float64(209.17), 'rhythm_std': np.float64(0.23), 'melodic_complexity': np.float64(11.07), 'total_notes': 12827}",Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements",2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi
70.0,0.1,68.13,7662,268.11,390.98,84,13.72,211.85,0.19,12.91,Happy,"{'avg_pitch': np.float64(70.0), 'avg_duration': np.float64(0.1), 'avg_velocity': np.float64(68.13), 'pitch_variance': np.float64(268.11), 'velocity_variance': np.float64(390.98), 'pitch_range': np.int64(84), 'note_density': np.float64(13.72), 'tempo': np.float64(211.85), 'rhythm_std': np.float64(0.19), 'melodic_complexity': np.float64(12.91), 'total_notes': 7662}",Charles Gounod / Franz Liszt,Faust Waltz,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.midi
66.26,0.09,59.73,3054,324.36,409.85,87,12.55,214.39,0.17,7.38,Calm,"{'avg_pitch': np.float64(66.26), 'avg_duration': np.float64(0.09), 'avg_velocity': np.float64(59.73), 'pitch_variance': np.float64(324.36), 'velocity_variance': np.float64(409.85), 'pitch_range': np.int64(87), 'note_density': np.float64(12.55), 'tempo': np.float64(214.39), 'rhythm_std': np.float64(0.17), 'melodic_complexity': np.float64(7.38), 'total_notes': 3054}",Claude Debussy,"""Feux d'artifice"" from Book II",2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi
67.13,0.27,56.64,7006,189.86,346.65,84,7.63,179.59,0.6,9.67,Calm,"{'avg_pitch': np.float64(67.13), 'avg_duration': np.float64(0.27), 'avg_velocity': np.float64(56.64), 'pitch_variance': np.float64(189.86), 'velocity_variance': np.float64(346.65), 'pitch_range': np.int64(84), 'note_density': np.float64(7.63), 'tempo': np.float64(179.59), 'rhythm_std': np.float64(0.6), 'melodic_complexity': np.float64(9.67), 'total_notes': 7006}",Claude Debussy,"""Images"", Series I",2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi
65.13,0.2,70.14,1564,196.09,393.2,79,9.19,190.94,0.36,9.59,Calm,"{'avg_pitch': np.float64(65.13), 'avg_duration': np.float64(0.2), 'avg_velocity': np.float64(70.14), 'pitch_variance': np.float64(196.09), 'velocity_variance': np.float64(393.2), 'pitch_range': np.int64(79), 'note_density': np.float64(9.19), 'tempo': np.float64(190.94), 'rhythm_std': np.float64(0.36), 'melodic_complexity': np.float64(9.59), 'total_notes': 1564}",Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I",2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi
